absolute_path,relative_path,file_type,size,modified_time,sha256,selected_as_reference,selection_reason
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\e2e\stability_round2_final.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/e2e/stability_round2_final.json,json,164131820,2026-07-23T03:34:12.279955+00:00,d3779e093445a005b51b60a2f76ae4184104cd3d0ff62fb8572b31349ca2e1ea,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\e2e\static_data_quality.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/e2e/static_data_quality.json,json,338,2026-07-23T02:04:29.968198+00:00,716dcfbe64b3bedd08f1751027b410767628a6a64bbbe79a26bee7e0549d83a0,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\e2e\test_summary.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/e2e/test_summary.json,json,90986761,2026-07-23T00:36:43.863726+00:00,67882730e719085acfd58d5e52eb9e49defd27b5b70a3e253784d6ce73cec637,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\e2e\vision_after_full.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/e2e/vision_after_full.json,json,87336902,2026-07-23T01:49:00.702132+00:00,f086e0d07d6753b0564feb48dc5e55f85f1e3cd1378731e6f23bd3517c3db23d,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\e2e\vision_after_full_clean.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/e2e/vision_after_full_clean.json,json,86744708,2026-07-23T01:54:58.066387+00:00,836f861fdc392e08a50d1e20324d8c84e3869f75e84305350d73a10961fc5a59,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\e2e\vision_round2_final.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/e2e/vision_round2_final.json,json,91409210,2026-07-23T03:30:32.600872+00:00,a645367666671ed4d0bc610881ab35e2df7f3ac20fa874f23d4983b871be1ba9,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\feedback_baseline\source_file_snapshot.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/feedback_baseline/source_file_snapshot.json,json,45428,2026-07-23T01:18:08.848218+00:00,1f757fc05f2940a039694881b6df30898b56793e2a56c3a7e4bb5bd30c0c2116,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\feedback_baseline\stability_baseline.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/feedback_baseline/stability_baseline.json,json,90813446,2026-07-23T01:24:09.616365+00:00,cb3297e3067456a7f56c9f28ba5e3272572b41b17462725a34b6e735180069f1,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\feedback_baseline\vision_baseline.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/feedback_baseline/vision_baseline.json,json,80868166,2026-07-23T01:20:17.546884+00:00,4e0874a9c7dd7ec6b4bc6e4a1cf3abf9b15197753b68ee1b179e758d61ffd529,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\feedback_round2_final\camera_provenance_smoke.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/feedback_round2_final/camera_provenance_smoke.json,json,8602,2026-07-23T03:37:51.842269+00:00,fae1787dd9f85743c5edc023ddbc152ba774e8e035a84a91504c88611b9aaf9b,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\pre_refactor_20260723_012630\backup_manifest.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/pre_refactor_20260723_012630/backup_manifest.json,json,2304,2026-07-23T05:26:38.580360+00:00,ffe9f6a94312dad988d0e049e8774e07ebc20585d19b1c58f8c7e2226b74fe37,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\pre_refactor_20260723_012630\steps_hashes_before.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/pre_refactor_20260723_012630/steps_hashes_before.json,json,6436,2026-07-23T05:26:38.578370+00:00,9b468e9d6c1ee5f73882dc21a49f6084bae29507eaa35cdb4b52b5d7a25154f3,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\__init__.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/__init__.py,py,59,2026-07-07T22:21:36.487759+00:00,4e19208805886e1e06365ea35adb56e4dadd9f5f3eb82cc90662ec6d879a7b79,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\camera_validation.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/camera_validation.py,py,10418,2026-07-14T03:54:27.311969+00:00,22928380fcf88420f643fd116c1029a8f809b8203f6228cefc7360d18b8269d9,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\command_model.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/command_model.py,py,6994,2026-07-22T22:10:45.486964+00:00,8682c8cd4f5ad5830680bbd4a3cf16283a9d1e8cc412710bd9f141c11e7f5892,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\config\telemetry.yaml,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/config/telemetry.yaml,yaml,1253,2026-07-22T22:08:26.172410+00:00,7cab32f16975ad6ba11630d79d1eb465edcba9330e0b6a1c5355b5747ca05ee8,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\height_manifest.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/height_manifest.py,py,7160,2026-07-08T21:26:25.697228+00:00,701c388bd3ad271285a74a39c8f7fca155182682ce131eca3c25fa1836b30621,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\height_replay_ui.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/height_replay_ui.py,py,35168,2026-07-22T22:13:55.805871+00:00,44f495873ac3d6d50a681210007a0c1c4895d9e9699de1392f54ae581e7f53fb,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\height_sequence_store.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/height_sequence_store.py,py,4540,2026-07-08T21:26:33.447790+00:00,ea2905dcb9c6c7aa0013c964905bb2bc7385b7c2655d0f7cf0870c5df8f9548b,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\height_task_panel.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/height_task_panel.py,py,7482,2026-07-08T20:56:54.433518+00:00,32ca37fbe217ca474140e4c7d0b9d17d1629c0c2baf4cc09fd8b862f17682f80,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\isaac_launch_preflight.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/isaac_launch_preflight.py,py,17979,2026-07-14T02:50:40.778513+00:00,56c8ae7188f737bdcf927492cfcd9e2f3338034e54280bfda5ac8ab34a8b0a2d,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\obstacle_height_vision.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/obstacle_height_vision.py,py,21115,2026-07-16T06:55:30.480867+00:00,1e30a9943528ddbf51b35594f885b11a246eca03c37ee1f5dcb24ad15e5d6f33,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\playback.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/playback.py,py,13733,2026-07-22T22:10:45.487954+00:00,0e3127f8d432e9ca8a996e8217a0e4f25e202db81832e14d10cb585a31f813c9,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\robot_ground_diagnostics.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/robot_ground_diagnostics.py,py,84267,2026-07-16T07:00:34.749041+00:00,b547fa46f19aea86ae673a6242ce3ff24649fd3c81137e9671eeed93035ced45,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sequence_manager.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sequence_manager.py,py,8178,2026-07-08T21:00:07.596885+00:00,2596da51a4e2173783d98b3e241d54f917ffb01d6b9c68719cef0bc7aea9d679,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sequence_model.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sequence_model.py,py,22142,2026-07-08T20:28:26.330639+00:00,af333f7c0db7ece943a919030b03bc294b1cd9ebc7dc2f10452b57975f399c68,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sim_camera_viewport.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sim_camera_viewport.py,py,47752,2026-07-16T05:00:01.913897+00:00,e0f0e41b0858d66c2ff11feb7ee541226b43a24a283a5a4a8bccff457a88d49a,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sim_ipc_protocol.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sim_ipc_protocol.py,py,2300,2026-07-14T01:35:43.984785+00:00,43470d0557ac75c132d88719dc85f72cd00d7cca4e5b49c42f4e15751e0c4669,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sim_obstacle_scene.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sim_obstacle_scene.py,py,22719,2026-07-22T22:09:30.050934+00:00,78fb70426adb564fd879c7e164dd55f49054596b5168d5593ad97dc94fa14b25,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sim_onboard_camera.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sim_onboard_camera.py,py,86288,2026-07-16T06:56:25.582571+00:00,e8acc7789472bf57ea6941a746dcd48ae09f8c35491881af2c24772d28eb2857,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sim_process_client.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sim_process_client.py,py,59646,2026-07-22T22:14:54.547388+00:00,4324725b8565e0c5aa1d3cd4d53248a8a122e3e213f629f683b7b6f48c28dd5a,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sim_robot_adapter.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sim_robot_adapter.py,py,73896,2026-07-22T22:10:45.490006+00:00,f88d610dc00b23fc4272a3151debb094133e5ef97c9110d899c7979de025164a,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sim_transport.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sim_transport.py,py,7961,2026-07-22T22:10:45.490957+00:00,9eeccd3a86bcd60690d5bc8d06a1b4705a1a27e173f2840584f0638a4b97b751,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sim_ui_controller.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sim_ui_controller.py,py,290303,2026-07-22T22:13:22.237203+00:00,7e9e0be7ccca3cc72300818e82a3d57c49d5ca0e6b7dc7dbd17ed287124b0b48,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sim_worker.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sim_worker.py,py,20492,2026-07-22T22:13:02.952205+00:00,edd92e46462785035bcb9d347a61cb14ed53645a74a07f6011a9a41a307bf488,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sim_worker_process.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sim_worker_process.py,py,102253,2026-07-22T22:13:55.806870+00:00,31849ca60d3c18e940179265a7f87839c6fa7e018c6755842299695cb106771c,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\sim_worker_runtime.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/sim_worker_runtime.py,py,27285,2026-07-22T22:13:12.441803+00:00,87841630cf351756b3abaa914427f69dd0c35c49af4ba79723dd95d206bf58db,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\speed_scale.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/speed_scale.py,py,5884,2026-07-08T19:52:58.893447+00:00,6b2873ef5374d41f0b0fe68d7ee6f51adf3c5a36dbb214cebe358c075ab4db95,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\__init__.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/__init__.py,py,344,2026-07-22T21:50:54.170867+00:00,32f1e64dc531a57cbc0a21ad50d06cf37a2e29719adb529771c081dbf780d798,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\collector.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/collector.py,py,37239,2026-07-22T22:14:09.660744+00:00,95daaf121b98e91ce4efb47e85b1f289d8759527545c2bf20790b95b454bf8f0,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\com_metrics.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/com_metrics.py,py,4989,2026-07-22T22:00:20.071476+00:00,e7d15c004d3a7e81d91f059019d2dff30301d9b74f10e362a0683410b3696135,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\config.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/config.py,py,10242,2026-07-22T21:50:54.171871+00:00,751b5c712d93cdf3b37fb3700dbb641c73911c7d1ef999b7c948a7b5f263b7c3,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\contact_metrics.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/contact_metrics.py,py,12322,2026-07-22T22:00:20.074033+00:00,951dedfe75fbc1a9904e378c9ce408cd9407f834a2e0ae28b267dfdb078d8ec3,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\event_recorder.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/event_recorder.py,py,3345,2026-07-22T21:53:12.237716+00:00,501265c369ad6f21516361da44c7fc935a7eaeadb498f2055473f20d757dd9b4,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\exporters.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/exporters.py,py,7539,2026-07-22T22:04:34.065356+00:00,87f099421648d3509dd81ab7c4193cefe6333eb5cf80d38489c9a542490429b1,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\joint_metrics.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/joint_metrics.py,py,9519,2026-07-22T22:14:26.498985+00:00,f9eb76add84ea7dd132e4babf32d42483658a7344f031c89167cec541c180ccc,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\model_audit.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/model_audit.py,py,8947,2026-07-22T22:14:26.499984+00:00,e306d271d807972e38415aa002df66f51f77ed32838df54536ac605bd229f6fe,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\replay_metrics.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/replay_metrics.py,py,2407,2026-07-22T21:53:12.237716+00:00,39cd3915d4eae5e4385e3e1232953d5195e39749bda13dbac7921d05eb66a63e,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\stability_metrics.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/stability_metrics.py,py,18419,2026-07-22T22:18:14.833174+00:00,594b54dcdd14626d9edc829e7225d0fc8162b44cc12c250772885e9b7a43a08b,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\visualization\__init__.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/visualization/__init__.py,py,44,2026-07-22T22:02:43.162026+00:00,aff8c75b64001374caa14de9a46e205923ad523e53a506cdeecb7870afa2dddd,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\visualization\live_overlay.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/visualization/live_overlay.py,py,5223,2026-07-22T22:02:43.162026+00:00,0ef6b820d86859604a0fe7af952415beb606bc6117310a71cba811a6d148bced,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\telemetry\visualization\report_generator.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/telemetry/visualization/report_generator.py,py,10690,2026-07-22T22:16:45.600397+00:00,0e978bc354bba99d23f634f74272583e3d60d924ebf61c3be133a86836d2367b,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\tests\controller_test_utils.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/tests/controller_test_utils.py,py,5190,2026-07-16T03:01:35.495634+00:00,6abd904800db26da5b9d7244a122e8b2e754d70fed56f4401041c616305cf5be,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\source_backup_20260722_185317\tests\test_action_failure_does_not_clear_ready.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/source_backup_20260722_185317/tests/test_action_failure_does_not_clear_ready.py,py,1608,2026-07-16T03:02:57.890336+00:00,8865dcce9d5312aabdb503c6f9425a7e03daf8f27347cb1ed769f92651b31e11,false,candidate or supporting source; not frozen as primary reference
