file,callable,CLI command,headless support,GUI support,checkpoint argument,height argument,method argument,num_envs argument,video argument,current usability,notes
scripts\10_generate_videos.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\10_generate_videos.ps1',true,false,,,,,,SOURCE_DISCOVERED,"params=LockedAttempt,RuntimeVersion,VideoAttempt"
scripts\11_generate_report.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\11_generate_report.ps1',false,false,,,,,,SOURCE_DISCOVERED,"params=LockedAttempt,RuntimeVersion,VideoAttempt"
scripts\12_final_audit.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\12_final_audit.ps1',false,false,,,,,,SOURCE_DISCOVERED,"params=LockedAttempt,RuntimeVersion,VideoAttempt"
scripts\formal_training_monitor.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\formal_training_monitor.ps1',false,false,,,,,,SOURCE_DISCOVERED,params=true
scripts\formal_training_recovery_supervisor.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\formal_training_recovery_supervisor.ps1',false,false,,,,,,SOURCE_DISCOVERED,params=
scripts\full_pipeline_supervisor.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\full_pipeline_supervisor.ps1',false,false,,,,,,SOURCE_DISCOVERED,params=
scripts\inspection\inspect_project_status.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\inspection\inspect_project_status.ps1',false,false,,,,,,SOURCE_DISCOVERED,params=
scripts\inspection\inspection_common.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\inspection\inspection_common.ps1',false,false,,,,,,SOURCE_DISCOVERED,"params=ErrorActionPreference,PSScriptRoot,script"
scripts\inspection\list_available_controllers.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\inspection\list_available_controllers.ps1',false,false,,,,,,SOURCE_DISCOVERED,params=
scripts\inspection\open_training_dashboard.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\inspection\open_training_dashboard.ps1',false,false,,,,,,SOURCE_DISCOVERED,params=
scripts\inspection\show_fsm_gui.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\inspection\show_fsm_gui.ps1',false,false,,,,,,SOURCE_DISCOVERED,params=
scripts\inspection\show_fsm_vs_ppo.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\inspection\show_fsm_vs_ppo.ps1',false,false,,,,,,SOURCE_DISCOVERED,params=
scripts\inspection\show_ppo_gui.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\inspection\show_ppo_gui.ps1',false,false,,,,,,SOURCE_DISCOVERED,params=
scripts\pipeline_keep_awake.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\pipeline_keep_awake.ps1',false,false,,,,,,SOURCE_DISCOVERED,params=
scripts\prevalidation_video_smoke.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\prevalidation_video_smoke.ps1',true,false,,,,,,SOURCE_DISCOVERED,params=
scripts\run_until_success.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\run_until_success.ps1',true,false,,,,,,SOURCE_DISCOVERED,params=
scripts\train_curriculum.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\train_curriculum.ps1',true,false,,,,,,SOURCE_DISCOVERED,params=true
scripts\watchdog.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\watchdog.ps1',false,false,,,,,,SOURCE_DISCOVERED,params=true
src\resume_validation\audit_direct_replay.py,main/__main__,$env:PYTHONPATH='C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src'; python -m resume_validation.audit_direct_replay --help,false,false,,,,,,SOURCE_DISCOVERED,args=
src\resume_validation\audit_fsm_contact_capture.py,main/__main__,$env:PYTHONPATH='C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src'; python -m resume_validation.audit_fsm_contact_capture --help,false,false,,,,,,SOURCE_DISCOVERED,"args=--compare-telemetry,--dwell-s,--output,--required-top-state,--upward-threshold-n"
src\resume_validation\build_validation_asset.py,main/__main__,Set-Location C:\robotics_sim\IsaacLab; conda run --no-capture-output -n env_isaaclab .\isaaclab.bat -p C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src\resume_validation\build_validation_asset.py --help,false,false,,,,,,SOURCE_DISCOVERED,"args=--manifest,--output,--source"
src\resume_validation\cli.py,main/__main__,$env:PYTHONPATH='C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src'; python -m resume_validation.cli --help,false,false,,,,,,SOURCE_DISCOVERED,"args=--episodes-per-height,--force,--output,--seed,--split"
src\resume_validation\curriculum_gate.py,main/__main__,$env:PYTHONPATH='C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src'; python -m resume_validation.curriculum_gate --help,false,false,--checkpoint,--height_mm,--method,,,SOURCE_DISCOVERED,"args=--checkpoint,--common_config,--evaluation,--height_mm,--method,--output,--seed"
src\resume_validation\diagnose_fsm_recovery_grid.py,main/__main__,Set-Location C:\robotics_sim\IsaacLab; conda run --no-capture-output -n env_isaaclab .\isaaclab.bat -p C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src\resume_validation\diagnose_fsm_recovery_grid.py --help,false,false,,--height_mm,,,,SOURCE_DISCOVERED,"args=--grid_kind,--height_mm,--manifest,--max_episode_s,--output_dir"
src\resume_validation\evaluate_controller.py,main/__main__,Set-Location C:\robotics_sim\IsaacLab; conda run --no-capture-output -n env_isaaclab .\isaaclab.bat -p C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src\resume_validation\evaluate_controller.py --help,false,true,--checkpoint,--height_mm,,,--video_path,SOURCE_VERIFIED,"args=--checkpoint,--controller,--height_mm,--initial_settle_physics_steps,--limit,--manifest,--max_episode_s,--output_dir,--record_stride,--require_locked_hash,--robot_usd,--scenario_id,--video_category,--video_fps,--video_outcome_label,--video_path,--video_stride"
src\resume_validation\final_audit.py,main/__main__,$env:PYTHONPATH='C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src'; python -m resume_validation.final_audit --help,false,false,,,,,,SOURCE_DISCOVERED,"args=--authorization,--freeze,--locked_run_root,--output_json,--output_markdown,--project_root,--recorded_audit,--reports_root,--video_inventory"
src\resume_validation\isaac_validation.py,main/__main__,Set-Location C:\robotics_sim\IsaacLab; conda run --no-capture-output -n env_isaaclab .\isaaclab.bat -p C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src\resume_validation\isaac_validation.py --help,false,false,,,,,,SOURCE_DISCOVERED,"args=--knee_negative_limit_deg,--motion_steps,--output,--robot_usd,--settle_steps"
src\resume_validation\locked_test_guard.py,main/__main__,$env:PYTHONPATH='C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src'; python -m resume_validation.locked_test_guard --help,false,false,,,,,,SOURCE_DISCOVERED,"args=--authorization,--freeze,--output,--project_root,--run_root"
src\resume_validation\method_freeze.py,main/__main__,$env:PYTHONPATH='C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src'; python -m resume_validation.method_freeze --help,false,false,,,,,,SOURCE_DISCOVERED,"args=--freeze,--output,--project_root,--runtime_version,--validation_root"
src\resume_validation\replay_direct_validation.py,main/__main__,Set-Location C:\robotics_sim\IsaacLab; conda run --no-capture-output -n env_isaaclab .\isaaclab.bat -p C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src\resume_validation\replay_direct_validation.py --help,false,false,,--height_mm,,,,SOURCE_DISCOVERED,"args=--height_mm,--max_idle_gap_s,--max_replay_s,--obstacle_length,--obstacle_width,--obstacle_x,--output_dir,--post_dwell_s,--profile,--record_every,--robot_usd,--seed,--settle_s"
src\resume_validation\replay_physical_audit.py,main/__main__,$env:PYTHONPATH='C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src'; python -m resume_validation.replay_physical_audit --help,false,false,,,,,,SOURCE_DISCOVERED,args=--output
src\resume_validation\report_generator.py,main/__main__,$env:PYTHONPATH='C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src'; python -m resume_validation.report_generator --help,false,false,,,,,,SOURCE_DISCOVERED,"args=--audit,--authorization,--freeze,--locked_run_root,--project_root,--reports_root,--unit_test_xml,--video_inventory"
src\resume_validation\train_residual_ppo.py,main/__main__,Set-Location C:\robotics_sim\IsaacLab; conda run --no-capture-output -n env_isaaclab .\isaaclab.bat -p C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src\resume_validation\train_residual_ppo.py --help,true,false,,--height_mm,--method,--num_envs,,SOURCE_DISCOVERED,"args=--checkpoint_every_iterations,--height_mm,--iterations,--learning_epochs,--method,--mini_batches,--num_envs,--output_root,--randomization_level,--resume,--resume_offset_timesteps,--robot_usd,--rollouts,--run_name,--seed,--smoke_only"
src\resume_validation\usd_asset_audit.py,main/__main__,Set-Location C:\robotics_sim\IsaacLab; conda run --no-capture-output -n env_isaaclab .\isaaclab.bat -p C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src\resume_validation\usd_asset_audit.py --help,false,false,,,,,,SOURCE_DISCOVERED,args=--output
src\resume_validation\validate_residual_env.py,main/__main__,Set-Location C:\robotics_sim\IsaacLab; conda run --no-capture-output -n env_isaaclab .\isaaclab.bat -p C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src\resume_validation\validate_residual_env.py --help,false,false,,,,--num_envs,,SOURCE_DISCOVERED,"args=--num_envs,--obstacle_height,--output,--random_steps,--robot_usd,--settle_steps,--training_randomization_level,--zero_steps"
src\resume_validation\validate_runtime_fk.py,main/__main__,Set-Location C:\robotics_sim\IsaacLab; conda run --no-capture-output -n env_isaaclab .\isaaclab.bat -p C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src\resume_validation\validate_runtime_fk.py --help,false,false,,,,--num_envs,,SOURCE_DISCOVERED,"args=--batches,--num_envs,--output,--tolerance_m"
src\resume_validation\validation_selection.py,main/__main__,$env:PYTHONPATH='C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src'; python -m resume_validation.validation_selection --help,false,false,--checkpoint,,--method,,,SOURCE_DISCOVERED,"args=--candidate_summaries,--checkpoint,--controller,--evaluations,--fsm_summary,--method,--output,--seed,--validation_manifest"
src\resume_validation\video_selection.py,main/__main__,$env:PYTHONPATH='C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\src'; python -m resume_validation.video_selection --help,false,false,,,,,,SOURCE_DISCOVERED,"args=--audit,--authorization,--freeze,--locked_run_root,--output,--project_root,--selection,--videos_root"
