file,keywords,representative_lines,last_modified
scripts\train_curriculum.ps1,checkpoint; development_gate; final_agent; headless; residual,"{""checkpoint"": [14, 40, 41, 43, 44, 46, 47, 55, 56, 75, 78, 96], ""development_gate"": [23], ""final_agent"": [75], ""headless"": [94, 127], ""residual"": [25]}",2026-07-30T11:12:53.959259
src\resume_validation\__init__.py,FSM; residual,"{""FSM"": [1], ""residual"": [1]}",2026-07-27T01:38:29.185769
src\resume_validation\actuator_mapping.py,FSM,"{""FSM"": [38]}",2026-07-27T06:50:10.825104
src\resume_validation\aggregate_results.py,pitch_rate; success; support_margin,"{""pitch_rate"": [39, 41, 50, 52, 61, 65, 83, 91], ""success"": [31, 43, 44, 46, 49, 51, 56, 57, 58, 63, 64, 65], ""support_margin"": [34, 36, 45, 47]}",2026-07-30T12:56:45.781098
src\resume_validation\asset_discovery.py,collision,"{""collision"": [57, 97, 98]}",2026-07-27T01:45:28.180006
src\resume_validation\audit_direct_replay.py,collision; pitch_rate; success; support_margin,"{""collision"": [126], ""pitch_rate"": [43, 97, 152], ""success"": [36, 64, 77, 93, 137, 172, 173], ""support_margin"": [96, 151]}",2026-07-27T03:47:50.818407
src\resume_validation\audit_fsm_contact_capture.py,FSM; success,"{""FSM"": [1, 138, 165, 168, 211], ""success"": [4]}",2026-07-27T13:07:03.567202
src\resume_validation\build_validation_asset.py,success,"{""success"": [52, 117]}",2026-07-27T02:14:12.128724
src\resume_validation\checkpoint_selection.py,FSM; checkpoint; deterministic; pitch_rate; success,"{""FSM"": [50, 85], ""checkpoint"": [19, 21, 27, 31, 39, 43, 53, 62, 65], ""deterministic"": [21], ""pitch_rate"": [17], ""success"": [31, 35, 46, 50, 52, 67, 81, 85, 90]}",2026-07-30T11:16:41.922090
src\resume_validation\cli.py,locked_test,"{""locked_test"": [56, 57, 76, 96]}",2026-07-27T03:27:51.028759
src\resume_validation\contact_processing.py,collision,"{""collision"": [13, 14, 40]}",2026-07-27T02:29:35.183706
src\resume_validation\curriculum_gate.py,FSM; checkpoint; residual; success,"{""FSM"": [11], ""checkpoint"": [26, 45, 46, 54, 71, 84, 88], ""residual"": [1, 11], ""success"": [35, 38, 47, 57, 61]}",2026-07-27T08:43:51.990338
src\resume_validation\diagnose_fsm_recovery_grid.py,FSM; collision; residual; success; timeout,"{""FSM"": [14, 74, 166, 184, 189, 191, 193, 194, 197, 362, 385, 425], ""collision"": [357, 358], ""residual"": [14, 75, 79, 128, 139, 185, 200], ""success"": [336, 341, 342, 354, 527, 529, 530, 532, 533, 534, 554, 630], ""timeout"": [194, 361, 362, 366, 584]}",2026-07-28T00:30:38.713758
src\resume_validation\evaluate_controller.py,FSM; checkpoint; collision; com_margin; deterministic; pitch_rate; residual; success; support_margin; timeout; video; viewer,"{""FSM"": [1, 17, 29, 179, 235, 237, 243, 386, 390, 394, 403, 406], ""checkpoint"": [1, 30, 94, 112, 124, 234, 235, 236, 414, 415, 666], ""collision"": [1125, 1126], ""com_margin"": [380, 381, 452, 547], ""deterministic"": [629], ""pitch_rate"": [332, 333, 371, 373, 504, 505, 593, 594, 699, 700, 704, 739], ""residual"": [1, 17, 72, 73, 76, 77, 97, 98, 129, 175, 250, 254], ""success"": [45, 670, 1119, 1120, 1121, 1270, 1383, 1553, 1554], ""support_margin"": [1385, 1547, 1549], ""timeout"": [551, 1131, 1132, 1134, 1375], ""video"": [40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53], ""viewer"": [612]}",2026-07-30T11:38:28.494341
src\resume_validation\final_audit.py,FSM; checkpoint; deterministic; locked_test; pitch_rate; residual; success; support_margin; video,"{""FSM"": [52, 89, 92, 94, 104, 114, 115, 116, 121, 124, 125, 126], ""checkpoint"": [457, 484, 485, 486, 488, 489, 492], ""deterministic"": [516], ""locked_test"": [12, 25, 254], ""pitch_rate"": [45, 110, 137, 140, 143, 144, 145, 158], ""residual"": [53, 54, 294, 295, 343, 344, 362, 363], ""success"": [42, 43, 114, 116, 117, 119, 120, 121, 149, 150, 151, 453], ""support_margin"": [108, 155], ""video"": [188, 238, 239, 274, 275, 277, 278, 279, 280, 281, 282, 283]}",2026-07-30T13:10:07.189008
src\resume_validation\fsm_controller.py,FSM; success; timeout,"{""FSM"": [7, 27, 42, 50, 51, 91, 97, 120, 122], ""success"": [22, 98, 110, 112], ""timeout"": [67, 70, 95, 97]}",2026-07-27T03:44:47.308310
src\resume_validation\fsm_phase_schedule.py,FSM,"{""FSM"": [1]}",2026-07-27T05:43:18.887328
src\resume_validation\fsm_recovery_grid.py,FSM; collision; success; timeout,"{""FSM"": [1], ""collision"": [70, 147], ""success"": [204, 233, 879, 932], ""timeout"": [738, 740]}",2026-07-28T00:30:38.713758
src\resume_validation\isaac_validation.py,FSM; residual,"{""FSM"": [14], ""residual"": [14]}",2026-07-27T02:25:01.527953
src\resume_validation\load_balance.py,FSM; deterministic,"{""FSM"": [1, 64, 69, 86, 91, 109, 114, 138, 143, 197, 214, 215], ""deterministic"": [372]}",2026-07-28T00:55:10.109221
src\resume_validation\locked_test_guard.py,FSM; checkpoint; locked_test; pitch_rate; success,"{""FSM"": [39, 298, 301], ""checkpoint"": [136, 149, 150, 305, 320, 329, 346], ""locked_test"": [50, 64, 84, 391], ""pitch_rate"": [37], ""success"": [184, 185, 231, 237, 238]}",2026-07-30T12:58:50.222304
src\resume_validation\method_freeze.py,FSM; checkpoint; com_margin; final_agent; locked_test; success; video,"{""FSM"": [33, 130, 450, 543, 544, 546, 548, 550, 551, 552, 555, 556], ""checkpoint"": [23, 285, 286, 287, 288, 291, 292, 306, 340, 341, 477, 537], ""com_margin"": [327, 438, 443, 444], ""final_agent"": [285], ""locked_test"": [40, 59, 663, 693, 696, 715], ""success"": [65, 181], ""video"": [45, 60, 64, 101, 106, 110, 111, 125, 132, 134, 139, 146]}",2026-07-30T13:27:00.870608
src\resume_validation\metrics.py,pitch_rate; success,"{""pitch_rate"": [13, 16, 35, 46, 49], ""success"": [11, 25, 44]}",2026-07-27T01:43:01.924632
src\resume_validation\paths.py,FSM; locked_test; video,"{""FSM"": [27], ""locked_test"": [26], ""video"": [33]}",2026-07-27T01:38:29.186756
src\resume_validation\ppo_models.py,deterministic; residual,"{""deterministic"": [1, 9, 72, 75], ""residual"": [22, 72]}",2026-07-29T14:53:48.306681
src\resume_validation\reference_tensor.py,FSM; success,"{""FSM"": [1, 9, 14, 29, 226, 232, 280, 288], ""success"": [236]}",2026-07-27T11:46:07.449462
src\resume_validation\replay_direct_validation.py,FSM; collision; pitch_rate; residual; success; support_margin,"{""FSM"": [15], ""collision"": [180, 269, 270, 271, 301, 342, 375, 393], ""pitch_rate"": [186, 254, 293, 410], ""residual"": [15, 64, 150, 162, 164], ""success"": [162, 178, 262, 306, 339, 340, 373, 391], ""support_margin"": [408]}",2026-07-27T03:57:26.555563
src\resume_validation\replay_physical_audit.py,collision; pitch_rate; success; support_margin,"{""collision"": [99, 124, 125, 267, 311, 312], ""pitch_rate"": [169, 259, 325], ""success"": [242, 265, 290, 344, 345], ""support_margin"": [22, 149, 321]}",2026-07-27T02:29:35.183706
src\resume_validation\report_generator.py,FSM; checkpoint; collision; com_margin; deterministic; locked_test; pitch_rate; residual; success; support_margin; video,"{""FSM"": [31, 32, 33, 36, 79, 81, 83, 86, 87, 112, 113, 241], ""checkpoint"": [698, 699, 711, 1569], ""collision"": [217, 219, 605, 1459, 1461], ""com_margin"": [1275], ""deterministic"": [1490], ""locked_test"": [19, 957, 972, 1297, 1535, 1655], ""pitch_rate"": [44, 188, 189, 191, 193, 348, 451, 452, 464, 505, 536, 538], ""residual"": [32, 33, 37, 38, 48, 50, 199, 200, 602, 769, 771, 772], ""success"": [125, 131, 170, 174, 175, 176, 177, 178, 183, 186, 191, 194], ""support_margin"": [181, 185, 347, 433, 757, 816, 1000, 1002, 1133, 1178, 1222, 1345], ""video"": [900, 909, 932, 934, 935, 936, 938, 939, 940, 943, 945, 1273]}",2026-07-30T13:08:09.816390
src\resume_validation\residual_action.py,FSM; residual,"{""FSM"": [57], ""residual"": [19, 26, 29, 35, 41, 43, 45, 57, 59, 93, 98]}",2026-07-27T01:41:29.901541
src\resume_validation\residual_rl_env.py,FSM; collision; com_margin; deterministic; pitch_rate; residual; success; timeout,"{""FSM"": [1, 18, 37, 43, 118, 120, 121, 122, 123, 124, 125, 126], ""collision"": [94, 660, 922, 1855, 1914, 1934, 1946, 2135, 2177], ""com_margin"": [89, 115, 459, 2163], ""deterministic"": [2366], ""pitch_rate"": [90, 158, 255, 276, 277, 283, 284, 293, 294, 689, 1374, 1397], ""residual"": [1, 18, 58, 69, 98, 99, 109, 128, 129, 130, 131, 132], ""success"": [5, 86, 465, 658, 659, 660, 661, 662, 663, 686, 691, 692], ""timeout"": [96, 119, 469, 691, 692, 1900, 1903, 1906, 1907, 1917, 1937, 1971]}",2026-07-30T10:59:38.871818
src\resume_validation\residual_safety.py,FSM; checkpoint; pitch_rate; residual,"{""FSM"": [28, 37, 64, 103, 106, 116, 118, 119, 136, 182, 186, 200], ""checkpoint"": [468, 612], ""pitch_rate"": [66, 73, 91, 105, 107, 112, 124, 139, 147, 167, 185, 188], ""residual"": [27, 33, 36, 45, 258, 262, 265, 268, 279, 289, 303, 343]}",2026-07-30T09:36:11.420501
src\resume_validation\reward.py,FSM; com_margin; pitch_rate; residual; success,"{""FSM"": [10, 16], ""com_margin"": [71], ""pitch_rate"": [58, 72], ""residual"": [60, 74], ""success"": [57, 70]}",2026-07-28T12:10:57.934835
src\resume_validation\source_audit.py,timeout,"{""timeout"": [39, 41]}",2026-07-27T01:38:29.187756
src\resume_validation\statistics.py,success,"{""success"": [9, 12, 13, 14]}",2026-07-30T11:29:57.374235
src\resume_validation\support_margin.py,support_margin,"{""support_margin"": [26]}",2026-07-27T01:40:02.320489
src\resume_validation\telemetry_schema.py,FSM; pitch_rate,"{""FSM"": [28], ""pitch_rate"": [22, 42]}",2026-07-27T01:41:29.901541
src\resume_validation\train_residual_ppo.py,FSM; checkpoint; collision; com_margin; final_agent; headless; pitch_rate; residual; success; timeout,"{""FSM"": [18, 250, 254, 258, 259, 450, 452, 456, 460, 469, 472, 473], ""checkpoint"": [38, 44, 173, 712, 1934, 1935, 1936, 1937, 1938, 1939, 1940], ""collision"": [761], ""com_margin"": [437, 444, 479], ""final_agent"": [1936], ""headless"": [720], ""pitch_rate"": [347, 348, 386, 388, 525, 526, 636, 637, 1602, 1668, 1669, 1688], ""residual"": [1, 18, 87, 88, 91, 96, 97, 212, 265, 269, 273, 277], ""success"": [1883, 1899, 1900, 1908], ""timeout"": [483, 763]}",2026-07-30T10:59:38.872818
src\resume_validation\training_randomization.py,deterministic,"{""deterministic"": [1]}",2026-07-28T10:37:05.925556
src\resume_validation\usd_asset_audit.py,collision,"{""collision"": [60, 71]}",2026-07-27T02:10:33.604407
src\resume_validation\validate_residual_env.py,FSM; residual,"{""FSM"": [13, 114, 172, 179], ""residual"": [1, 13, 44, 47, 48, 67, 85, 99, 161, 165, 172, 240]}",2026-07-27T08:48:38.900923
src\resume_validation\validate_runtime_fk.py,FSM; residual,"{""FSM"": [14], ""residual"": [14, 38, 40, 41, 70, 74]}",2026-07-27T04:26:38.750542
src\resume_validation\validation_selection.py,FSM; checkpoint; collision; deterministic; pitch_rate; residual; success,"{""FSM"": [29, 115, 133, 135, 137, 164, 166, 167, 273, 278, 279, 283], ""checkpoint"": [1, 20, 38, 42, 131, 136, 137, 138, 139, 145, 146, 164], ""collision"": [47, 48], ""deterministic"": [5, 38], ""pitch_rate"": [228, 229, 237, 327], ""residual"": [37, 219], ""success"": [28, 29, 32, 41, 189, 190, 192, 222, 223, 303, 304, 308]}",2026-07-30T11:24:33.814524
src\resume_validation\video_selection.py,FSM; checkpoint; deterministic; locked_test; pitch_rate; success; support_margin; video,"{""FSM"": [139, 144, 224, 240, 296, 297, 321], ""checkpoint"": [322, 323, 328, 329, 330, 371, 373, 374, 375, 377, 382, 383], ""deterministic"": [1], ""locked_test"": [14, 290], ""pitch_rate"": [111, 126, 164, 176, 186, 204, 205, 245], ""success"": [76, 77, 79, 148, 149, 150, 151, 197, 243, 244, 246, 247], ""support_margin"": [107, 109, 119, 123, 157, 163, 179, 201, 202], ""video"": [1, 85, 88, 132, 142, 232, 263, 287, 288, 291, 315, 333]}",2026-07-30T13:04:18.047961
