method,version,seed,height_mm,attempt,run_name,status,started_at,completed_at,iterations,num_envs,rollout,local_timesteps,simulated_transitions,randomization,resume_source,resume_source_sha256,optimizer_restored,scheduler_restored,observation_normalizer_restored,value_normalizer_restored,policy_restored,critic_restored,action_std_restored_with_policy,checkpoint_count,best_checkpoint,final_checkpoint,evaluation_checkpoint,development_episode_count,development_success_count,development_success_rate,gate_threshold,promote,failure reasons,margin,pitch-rate RMS,evidence
B,v14,11,50,001,method-B-v14_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-29T08:30:17.990094+00:00,2026-07-29T08:30:23.981254+00:00,1,16,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v14_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v15,11,50,001,method-B-v15_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-29T09:17:03.937929+00:00,2026-07-29T09:17:09.842245+00:00,1,16,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v15_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v16,11,50,001,method-B-v16_seed-11_stage-50mm_attempt001,COMPLETED,2026-07-29T13:18:18.706166+00:00,2026-07-29T15:57:50.080308+00:00,1200,64,64,76800,4915200,full,,,false,N/A,false,false,false,false,false,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v16_seed-11_stage-50mm_attempt001\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v16_seed-11_stage-50mm_attempt001\checkpoints\final_agent.pt,,,,,,,{},,,runs\ppo_without_com\training\method-B-v16_seed-11_stage-50mm_attempt001\training_result.json
B,v16,11,50,001,method-B-v16_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-29T12:35:53.767833+00:00,2026-07-29T12:36:00.309468+00:00,1,16,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v16_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v17,11,50,001,method-B-v17_seed-11_stage-50mm_attempt001,COMPLETED,2026-07-29T18:58:40.748270+00:00,2026-07-29T21:47:01.662608+00:00,1200,64,64,76800,4915200,full,,,false,N/A,false,false,false,false,false,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v17_seed-11_stage-50mm_attempt001\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v17_seed-11_stage-50mm_attempt001\checkpoints\final_agent.pt,,,,,,,{},,,runs\ppo_without_com\training\method-B-v17_seed-11_stage-50mm_attempt001\training_result.json
B,v17,11,50,001,method-B-v17_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-29T18:56:55.284555+00:00,2026-07-29T18:57:00.709986+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v17_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v18,11,50,001,method-B-v18_seed-11_stage-50mm_smoke_attempt001,FAILED,2026-07-29T22:37:38.389528+00:00,2026-07-29T22:37:38.443093+00:00,,1,,,,,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v18_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v18,11,50,002,method-B-v18_seed-11_stage-50mm_smoke_attempt002,SMOKE_PASS,2026-07-29T22:39:30.377163+00:00,2026-07-29T22:39:36.160266+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v18_seed-11_stage-50mm_smoke_attempt002\training_result.json
B,v19,11,50,001,method-B-v19_seed-11_stage-50mm_attempt001,COMPLETED,2026-07-30T00:09:07.882550+00:00,2026-07-30T02:59:03.037495+00:00,1200,64,64,76800,4915200,full,,,false,N/A,false,false,false,false,false,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v19_seed-11_stage-50mm_attempt001\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v19_seed-11_stage-50mm_attempt001\checkpoints\final_agent.pt,,,,,,,{},,,runs\ppo_without_com\training\method-B-v19_seed-11_stage-50mm_attempt001\training_result.json
B,v19,11,50,001,method-B-v19_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-29T23:29:46.449918+00:00,2026-07-29T23:29:51.759571+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v19_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v20,11,50,001,method-B-v20_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T03:54:56.107275+00:00,2026-07-30T03:55:01.205806+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v20_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v21,11,50,001,method-B-v21_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T04:43:37.992735+00:00,2026-07-30T04:43:43.681162+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v21_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v22,11,50,001,method-B-v22_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T05:30:04.933572+00:00,2026-07-30T05:30:10.428833+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v22_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v23,11,50,001,method-B-v23_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T06:27:14.333566+00:00,2026-07-30T06:27:20.727334+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v23_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v24,11,50,001,method-B-v24_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T07:12:02.768754+00:00,2026-07-30T07:12:08.235963+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v24_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v25,11,50,001,method-B-v25_seed-11_stage-50mm_smoke_attempt001,FAILED,2026-07-30T08:06:26.940965+00:00,2026-07-30T08:06:31.269007+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v25_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v25,11,50,002,method-B-v25_seed-11_stage-50mm_smoke_attempt002,SMOKE_PASS,2026-07-30T08:11:14.063493+00:00,2026-07-30T08:11:19.635392+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v25_seed-11_stage-50mm_smoke_attempt002\training_result.json
B,v26,11,50,001,method-B-v26_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T09:03:47.698834+00:00,2026-07-30T09:03:53.163029+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v26_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v27,11,50,001,method-B-v27_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T09:47:41.008560+00:00,2026-07-30T09:47:46.686909+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v27_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v28,11,50,001,method-B-v28_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T10:30:33.076907+00:00,2026-07-30T10:30:38.537119+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v28_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v29,11,50,001,method-B-v29_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T11:07:54.212593+00:00,2026-07-30T11:08:00.336877+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v29_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v29,11,50,002,method-B-v29_seed-11_stage-50mm_smoke_attempt002,SMOKE_PASS,2026-07-30T11:10:59.166078+00:00,2026-07-30T11:11:04.518983+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v29_seed-11_stage-50mm_smoke_attempt002\training_result.json
B,v2,11,50,001,method-B-v2_seed-11_stage-50mm_attempt001,COMPLETED,2026-07-28T09:03:16.355098+00:00,2026-07-28T09:43:19.580209+00:00,300,64,64,19200,1228800,nominal,,,false,N/A,false,false,false,false,false,14,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v2_seed-11_stage-50mm_attempt001\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v2_seed-11_stage-50mm_attempt001\checkpoints\final_agent.pt,,,,,,,{},,,runs\ppo_without_com\training\method-B-v2_seed-11_stage-50mm_attempt001\training_result.json
B,v2,11,50,001,method-B-v2_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-28T09:01:53.554281+00:00,2026-07-28T09:01:59.132290+00:00,1,16,8,,,nominal,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v2_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v30,11,50,001,method-B-v30_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T12:00:49.990000+00:00,2026-07-30T12:00:55.616860+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v30_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v31,11,50,001,method-B-v31_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T12:47:35.880272+00:00,2026-07-30T12:47:41.634842+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v31_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v32,11,50,001,method-B-v32_seed-11_stage-50mm_smoke_attempt001,FAILED,2026-07-30T13:32:38.020177+00:00,2026-07-30T13:32:42.689187+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v32_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v32,11,50,002,method-B-v32_seed-11_stage-50mm_smoke_attempt002,SMOKE_PASS,2026-07-30T13:38:54.387675+00:00,2026-07-30T13:39:00.722492+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v32_seed-11_stage-50mm_smoke_attempt002\training_result.json
B,v33,11,50,001,method-B-v33_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T14:16:45.222487+00:00,2026-07-30T14:16:51.365469+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v33_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v34,11,100,002,method-B-v34_seed-11_stage-100mm_attempt002,COMPLETED,2026-07-30T21:19:19.540950+00:00,2026-07-30T23:55:17.689740+00:00,1200,64,64,76800,4915200,full,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\checkpoints\final_agent.pt,12db89531ad49f264c30ec14d08c327c47df76dcedd30fc2447702608f96219b,true,false,true,true,true,true,true,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\checkpoints\final_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\checkpoints\final_agent.pt,20,7,0.3499999940395355,0.7,false,"{""BODY_OR_LINK_COLLISION"": 7, ""TIMEOUT"": 6}",-0.15820375084877014,0.06026544696809251,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\training_result.json
B,v34,11,50,001,method-B-v34_seed-11_stage-50mm_attempt001,COMPLETED,2026-07-30T15:04:12.538519+00:00,2026-07-30T17:54:36.323156+00:00,1200,64,64,76800,4915200,full,,,false,N/A,false,false,false,false,false,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-11_stage-50mm_attempt001\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-11_stage-50mm_attempt001\checkpoints\final_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-11_stage-50mm_attempt001\checkpoints\final_agent.pt,20,13,0.6500000357627869,0.8,false,"{""BODY_OR_LINK_COLLISION"": 4, ""FSM_PHASE_TIMEOUT"": 3}",-0.28107067942619324,0.06155351180997345,runs\ppo_without_com\training\method-B-v34_seed-11_stage-50mm_attempt001\training_result.json
B,v34,11,50,001,method-B-v34_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-30T15:00:39.738922+00:00,2026-07-30T15:00:45.162486+00:00,1,1,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v34_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v34,11,75,001,method-B-v34_seed-11_stage-75mm_attempt001,FAILED,2026-07-30T18:26:35.698391+00:00,2026-07-30T18:26:35.743431+00:00,,64,,,,,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt001\training_result.json
B,v34,11,75,002,method-B-v34_seed-11_stage-75mm_attempt002,COMPLETED,2026-07-30T18:26:47.170477+00:00,2026-07-30T20:55:27.777215+00:00,1200,64,64,76800,4915200,light,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-11_stage-50mm_attempt001\checkpoints\final_agent.pt,dd7a503c90acd6a0855de4468fef566063fafa7e32133ca0b0b47e821491f271,true,false,true,true,true,true,true,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\checkpoints\final_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\checkpoints\final_agent.pt,20,7,0.3499999940395355,0.75,false,"{""TIMEOUT"": 13}",0.10234369188547135,0.057685560368345254,runs\ppo_without_com\training\method-B-v34_seed-11_stage-75mm_attempt002\training_result.json
B,v34,29,100,002,method-B-v34_seed-29_stage-100mm_attempt002,COMPLETED,2026-07-31T06:53:45.962017+00:00,2026-07-31T09:41:43.541562+00:00,1200,64,64,76800,4915200,full,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,true,false,true,true,true,true,true,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\checkpoints\final_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\checkpoints\final_agent.pt,20,7,0.3499999940395355,0.7,false,"{""BODY_OR_LINK_COLLISION"": 7, ""TIMEOUT"": 6}",-0.15820375084877014,0.06026544696809251,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\training_result.json
B,v34,29,50,002,method-B-v34_seed-29_stage-50mm_attempt002,COMPLETED,2026-07-31T00:29:30.169089+00:00,2026-07-31T03:20:48.219234+00:00,1200,64,64,76800,4915200,full,,,false,N/A,false,false,false,false,false,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\checkpoints\final_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\checkpoints\final_agent.pt,20,13,0.6500000357627869,0.8,false,"{""BODY_OR_LINK_COLLISION"": 4, ""FSM_PHASE_TIMEOUT"": 3}",-0.28107067942619324,0.06162461999155814,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\training_result.json
B,v34,29,75,002,method-B-v34_seed-29_stage-75mm_attempt002,COMPLETED,2026-07-31T03:51:04.447379+00:00,2026-07-31T06:31:32.809604+00:00,1200,64,64,76800,4915200,light,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\checkpoints\final_agent.pt,2f484e02b6caa3a79b664af69e18a6aaabebcd28333e251e00128b3b828e7738,true,false,true,true,true,true,true,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,20,7,0.3499999940395355,0.75,false,"{""TIMEOUT"": 13}",0.10234369188547135,0.057685560368345254,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\training_result.json
B,v34,47,100,002,method-B-v34_seed-47_stage-100mm_attempt002,COMPLETED,2026-07-31T16:44:25.994649+00:00,2026-07-31T20:37:37.792767+00:00,1200,64,64,76800,4915200,full,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-47_stage-75mm_attempt002\checkpoints\final_agent.pt,0362d2dd6ee9c3f88e6c07042b58a0b27a40356bd07589e7bad9d2f6a0b43b95,true,false,true,true,true,true,true,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-47_stage-100mm_attempt002\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-47_stage-100mm_attempt002\checkpoints\final_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-47_stage-100mm_attempt002\checkpoints\final_agent.pt,20,7,0.3499999940395355,0.7,false,"{""BODY_OR_LINK_COLLISION"": 7, ""TIMEOUT"": 6}",-0.15820375084877014,0.06026544696809251,runs\ppo_without_com\training\method-B-v34_seed-47_stage-100mm_attempt002\training_result.json
B,v34,47,50,002,method-B-v34_seed-47_stage-50mm_attempt002,COMPLETED,2026-07-31T10:16:56.162291+00:00,2026-07-31T13:10:08.669334+00:00,1200,64,64,76800,4915200,full,,,false,N/A,false,false,false,false,false,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\checkpoints\final_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\checkpoints\final_agent.pt,20,13,0.6500000357627869,0.8,false,"{""BODY_OR_LINK_COLLISION"": 4, ""FSM_PHASE_TIMEOUT"": 3}",-0.28107067942619324,0.06161050587250101,runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\training_result.json
